"","p","b","e","w"
"1",0.7,2500000,5e+06,9733026
"2",0.355,51000,75500,1e+05
"3",0.355,51000,75500,1e+05
"4",0.355,51000,75500,1e+05
"5",0.355,51000,75500,1e+05
"6",0.355,51000,75500,1e+05
"7",0.355,51000,75500,1e+05
"8",0.355,51000,75500,1e+05
"9",0.355,51000,75500,1e+05
"10",0.355,51000,75500,1e+05
"11",0.355,51000,75500,1e+05
"12",0.355,51000,75500,1e+05
"13",0.355,51000,75500,1e+05
"14",0.355,51000,75500,1e+05
"15",0.355,51000,75500,1e+05
"16",0.355,51000,75500,1e+05
"17",0.355,51000,75500,1e+05
"18",0.355,51000,75500,1e+05
"19",0.8,4e+06,6e+06,8e+06
"20",0.8,2e+06,5e+06,6e+06
"21",0.8,2e+06,5e+06,6e+06
"22",0.8,2e+06,4e+06,6e+06
"23",0.8,2e+06,4e+06,6e+06
"24",0.8,2e+06,4e+06,6e+06
"25",0.55,1500000,3e+06,7e+06
"26",0.55,1500000,3e+06,7e+06
"27",0.55,1500000,3e+06,7e+06
"28",0.55,1500000,3e+06,7e+06
"29",0.55,1500000,3e+06,7e+06
"30",0.55,1500000,3e+06,7e+06
"31",0.88,2100000,11050000,2e+07
"32",0.5,2079632,2599540,3119447
"33",0.5,2079632,2599540,3119447
"34",0.5,2079632,2599540,3119447
"35",0.5,2079632,2599540,3119447
"36",0.5,2079632,2599540,3119447
"37",0.5,2079632,2599540,3119447
"38",0.8,1500000,1500000,1500000
"39",0.8,1500000,1500000,1500000
"40",0.8,1500000,1500000,1500000
"41",0.8,1500000,1500000,1500000
"42",0.8,1500000,3e+06,4500000
"43",0.8,1500000,3e+06,4500000
"44",0.5,8e+05,1600000,2383124
"45",0.5,8e+05,1600000,2383124
"46",0.5,8e+05,1600000,2383124
"47",0.5,8e+05,1600000,2383124
"48",0.5,8e+05,1600000,2383124
"49",0.5,8e+05,1600000,2383124
"50",0.5,8e+05,1600000,2383124
"51",0.5,8e+05,1600000,2383124
"52",0.5,8e+05,1600000,2383124
"53",0.5,8e+05,1600000,2383124
"54",0.5,8e+05,1600000,2383124
"55",0.5,8e+05,1600000,2383124
"56",0.5,8e+05,1600000,2383124
"57",0.5,8e+05,1600000,2383124
"58",0.5,8e+05,1600000,2383124
"59",0.5,8e+05,1600000,2383124
"60",0.5,8e+05,1600000,2383124
"61",0.4,1e+06,1800000,2748180
"62",0.5,2010453,3011153,4278732
"63",0.5,2010453,3011153,4278732
"64",0.5,2010453,3011153,4278732
"65",0.5,2010453,3011153,4278732
"66",0.5,2010453,3011153,4278732
"67",0.5,2010453,3011153,4278732
"68",0.3,1733026,3466053,5199076
"69",0.3,1733026,3466053,5199076
"70",0.3,1733026,3466053,5199076
"71",0.3,1733026,3466053,5199076
"72",0.3,1733026,3466053,5199076
"73",0.3,1733026,3466053,5199076
"74",0.4,8e+05,1600000,2454663
"75",0.2,1500000,3e+06,4006085
"76",0.4,6e+05,1500000,1969982
"77",0.4,5e+05,1200000,2100918
"78",0.5,1464642,1830803,2196964
"79",0.5,1464642,1830803,2196964
"80",0.5,1464642,1830803,2196964
"81",0.5,1464642,1830803,2196964
"82",0.5,1464642,1830803,2196964
"83",0.5,1464642,1830803,2196964
"84",0.35,3e+05,9e+05,2500000
"85",0.7,686092,1372185,2058277
"86",0.7,686092,1372185,2058277
"87",0.7,686092,1372185,2058277
"88",0.7,686092,1372185,2058277
"89",0.7,686092,1372185,2058277
"90",0.7,686092,1372185,2058277
"91",0.5,1466922,1833652,2200382
"92",0.5,1466922,1833652,2200382
"93",0.5,1466922,1833652,2200382
"94",0.5,1466922,1833652,2200382
"95",0.5,1466922,1833652,2200382
"96",0.5,1466922,1833652,2200382
"97",0.49,3e+06,6e+06,1.2e+07
"98",0.3,8e+05,1200000,1719438
"99",0.8,2105551,2631939,3158327
"100",0.8,2105551,2631939,3158327
"101",0.8,2105551,2631939,3158327
"102",0.8,2105551,2631939,3158327
"103",0.8,2105551,2631939,3158327
"104",0.8,2105551,2631939,3158327
"105",0.8,2105551,2631939,3158327
"106",0.8,2105551,2631939,3158327
"107",0.8,2105551,2631939,3158327
"108",0.8,2105551,2631939,3158327
"109",0.8,2105551,2631939,3158327
"110",0.8,2105551,2631939,3158327
"111",0.8,2105551,2631939,3158327
"112",0.8,2105551,2631939,3158327
"113",0.8,2105551,2631939,3158327
"114",0.8,2105551,2631939,3158327
"115",0.8,2105551,2631939,3158327
"116",0.2,1e+06,1500000,1903788
"117",0.5,1200309,1500386,1800463
"118",0.5,1200309,1500386,1800463
"119",0.5,1200309,1500386,1800463
"120",0.5,1200309,1500386,1800463
"121",0.5,1200309,1500386,1800463
"122",0.5,1200309,1500386,1800463
"123",0.15,1e+06,2e+06,4315233
"124",0.35,3e+05,6e+05,1399500
"125",0.1,8e+05,2e+06,4e+06
"126",0.5,2e+05,4e+05,6e+05
"127",0.5,1096465,1218494,1340343
"128",0.5,1096465,1218494,1340343
"129",0.5,1096465,1218494,1340343
"130",0.5,1096465,1218494,1340343
"131",0.5,1096465,1218494,1340343
